description,name,source,url
"🆕 **May 8, 2026**. GPT-5-class reasoning brought to the Realtime API, 128K context, parallel tool calls with audio feedback, adjustable reasoning effort.",GPT-Realtime-2,GitHub Awesome,https://openai.com/
"🆕 **May 8, 2026**. Live speech-to-speech translation across 70+ input languages and 13 output languages.",GPT-Realtime-Translate,GitHub Awesome,https://openai.com/
"🆕 **May 8, 2026**. Streaming low-latency speech-to-text companion to GPT-Realtime-2.",GPT-Realtime-Whisper,GitHub Awesome,https://openai.com/
"🆕 **May 11, 2026**. New OpenAI-majority-owned services entity for enterprise AI rollout. Backed by **$4B+** from TPG / Advent / Bain Capital / Brookfield / Goldman Sachs / SoftBank and consulting partners Bain & Company, Capgemini, McKinsey. Built around Forward Deployed Engineers; absorbs the Tomoro AI consulting acquisition (~150 engineers).",OpenAI Deployment Company (DeployCo),GitHub Awesome,https://openai.com/index/openai-launches-the-deployment-company/
"🆕 **May 14, 2026**. ChatGPT iOS/Android can now remote-control the Codex desktop app — review outputs, approve actions, switch models, and kick off new tasks from the phone while the live session runs on Mac (Windows next). Rolling out as preview to Free, Plus and Go users.",Codex on Mobile,GitHub Awesome,https://9to5mac.com/2026/05/14/openai-brings-codex-control-to-chatgpt-for-iphone-and-android/
"🆕 **May 16, 2026**. First country-wide deal: every Maltese citizen / resident aged 14+ gets a free 1-year ChatGPT Plus subscription after completing a 2-hour AI literacy course built by the University of Malta. Part of the ""OpenAI for Countries"" initiative; phased rollout starting May 2026.",OpenAI ↔ Malta partnership,GitHub Awesome,https://openai.com/index/malta-chatgpt-plus-partnership/
"🆕 **May 18, 2026**. Brings Codex to hybrid and on-premises enterprise environments via Dell Technologies infrastructure — first major Codex distribution channel outside the public cloud, targeted at regulated industries needing data-residency control.",OpenAI ↔ Dell Codex partnership,GitHub Awesome,https://openai.com/news/company-announcements/
"🆕 **May 18, 2026**. ChatGPT's safety systems updated to detect and track subtle escalation cues across long sessions for acute risks (suicide / self-harm / harm to others), with cross-session state retention.",ChatGPT Safety Updates — sensitive-conversation tracking,GitHub Awesome,https://www.edtechinnovationhub.com/news/openai-updates-chatgpt-safety-systems-to-track-risk-across-sensitive-conversations
"🆕 **May 19, 2026**. Long-term compute reservation product for enterprise AI products / agents / workflows. 1, 2, or 3-year terms; longer terms unlock larger discounts. OpenAI's structural response to the Anthropic ""Priority Tier"" model.",OpenAI Guaranteed Capacity (Compute Annual Pass),GitHub Awesome,https://openai.com/news/company-announcements/
"🆕 **May 19, 2026**. OpenAI partners with Google to add durable cross-platform **SynthID watermarking** to ChatGPT/Sora images, joins C2PA, and previews a public **""is-this-image-from-OpenAI""** verifier. First major frontier-lab interop on watermarking.",OpenAI ↔ Google SynthID + C2PA content provenance,GitHub Awesome,https://openai.com/index/advancing-content-provenance/
"Released March 2026. Frontier model with 1M-token context, advanced coding, computer use, tool search. BenchLM 94, SWE-bench Verified 77.2%, OSWorld 75% (beats human).",GPT-5.4,GitHub Awesome,https://openai.com/
Higher-accuracy variant of GPT-5.4. BenchLM 92.,GPT-5.4 Pro,GitHub Awesome,https://openai.com/
Early 2026. Includes GPT-5.3 Instant (conversations) and GPT-5.3-Codex (coding).,GPT-5.3,GitHub Awesome,https://openai.com/
"Released Dec 2025. State-of-the-art reasoning, long-context understanding, and vision.",GPT-5.2,GitHub Awesome,https://openai.com/
"Launched August 2025. The default model in ChatGPT, replacing GPT-4o. Multimodal with variants: gpt-5, gpt-5-mini, gpt-5-nano.",GPT-5,GitHub Awesome,https://openai.com/index/introducing-gpt-5/
"Omni model with native text, vision, and audio. Retired from ChatGPT Feb 2026 but still available via API.",GPT-4o,GitHub Awesome,https://openai.com/index/hello-gpt-4o/
"📦 **Retired from ChatGPT late June 2026** (API access continues; conversations auto-migrated to GPT-5.5). Released Feb 2025 as a research preview — the last GPT-4-family model in ChatGPT. o3 retiring from ChatGPT Aug 26, 2026.",GPT-4.5,GitHub Awesome,https://openai.com/
"Reasoning models with chain-of-thought for complex problem solving. Released April 2025. o3 leaves ChatGPT on Aug 26, 2026; the `o3-2025-04-16` and `o3-pro-2025-06-10` **API snapshots are removed on Dec 11, 2026**, with `gpt-5.6-sol` named as the replacement ([deprecations](https://developers.openai.com/api/docs/deprecations.md)).",o3 / o4-mini,GitHub Awesome,https://openai.com/index/introducing-o3-and-o4-mini/
Open-source terminal-based coding agent powered by OpenAI models. ![GitHub stars](https://img.shields.io/badge/dynamic/json?label=Stars&query=%24.stargazers_count&url=https%3A%2F%2Fapi.github.com%2Frepos%2Fopenai%2Fcodex&color=yellow&logo=github&logoColor=white&style=flat&cacheSeconds=300),Codex CLI,GitHub Awesome,https://github.com/openai/codex
"🆕 ⚡ **August 14, 2026**. Anthropic adds invisible **SynthID-Text-based watermarking** (Google DeepMind's method) to future Claude models globally at launch, plus C2PA content credentials on generated images/files (.png/.jpg/.svg); models released before August 2, 2026 get it ""over the coming months"", and a detection API is coming. Implemented to comply with the EU AI Act after Anthropic signed the EU transparency Code of Practice in July. Anthropic says watermarked text is indistinguishable to readers.",Claude text watermarking + content credentials,GitHub Awesome,https://www.anthropic.com/news/claude-text-watermark
"🆕 **July 24, 2026**. Anthropic's fifth-generation flagship — nears Fable 5 performance at a significantly lower price ($5/$25 per million input/output tokens). 1M-token context window, 128K output tokens. Now the default model on Claude Max. API: `claude-opus-5`. Available on Anthropic API, Amazon Bedrock, and Google Cloud Vertex AI.",Claude Opus 5,GitHub Awesome,https://www.anthropic.com/news/claude-opus-5
"🆕 **July 1, 2026**. After US Commerce Department export controls were lifted on June 30, Anthropic reinstated global access to Fable 5 across Claude.ai, the Claude Platform, Claude Code, and Claude Cowork. A new safety classifier blocking the Amazon-discovered jailbreak was deployed (blocks the reported behavior in >99% of cases). Pro/Max/Team and select Enterprise plans got Fable 5 included for up to 50% of weekly usage through July 7, then via usage credits; cloud re-enablement on AWS, Google Cloud, and Microsoft Foundry to follow. Mythos 5 remains restricted to vetted US entities.",Claude Fable 5 (Global Reinstatement),GitHub Awesome,https://www.anthropic.com/news/redeploying-fable-5
"🆕 **June 30, 2026**. The most agentic Sonnet yet — planning, browser/terminal tool use, and autonomous operation at a level that recently required Opus-class models. Performance approaches Opus 4.8 on agentic search (BrowseComp) and computer use (OSWorld-Verified) at higher effort settings, with a much wider cost-performance range than Sonnet 4.6. Now the default model for Claude.ai Free/Pro; also on Max/Team/Enterprise, Claude Code, and the API as `claude-sonnet-5`. **August 10, 2026 update**: the introductory $2/$10 per million input/output pricing was made **permanent** — the previously scheduled increase to $3/$15 on September 1 will not occur. Anthropic reports a lower rate of undesirable behaviors than Sonnet 4.6.",Claude Sonnet 5,GitHub Awesome,https://www.anthropic.com/news/claude-sonnet-5
"🆕 **June 9, 2026**. Anthropic's first publicly available **Mythos-class** model — a capability tier above Opus. Surpasses Opus 4.8 across software engineering, knowledge work, vision, and scientific research benchmarks. Ships with built-in safeguards (sensitive cyber/bio queries may be rerouted to Opus 4.8). $10 / $50 per million in/out tokens. Available via Anthropic API, Amazon Bedrock, and Google Cloud Vertex AI. **⚠️ Access suspended June 12, 2026** — a US government export-control directive ordered Anthropic to disable Fable 5 and Mythos 5 for all customers pending security review. **✅ Export controls lifted June 30, 2026; access restored July 1** with a new cybersecurity classifier — see entry above ([statement](https://www.anthropic.com/news/redeploying-fable-5)).",Claude Fable 5,GitHub Awesome,https://www.anthropic.com/news/claude-fable-5-mythos-5
"🆕 **June 9, 2026**. The same underlying Mythos-class model as Fable 5 with fewer restrictions, deployed only to vetted partners (cybersecurity firms, infrastructure providers) through **Project Glasswing** in collaboration with the US government. Successor to the April Claude Mythos Preview. **⚠️ Suspended June 12, 2026** alongside Fable 5 under a US export-control directive. **✅ Partially reinstated June 26, 2026** — US Commerce Secretary Lutnick restored access to 100+ approved US companies and federal agencies; broader reinstatement ongoing ([statement](https://www.anthropic.com/news/fable-mythos-access)).",Claude Mythos 5,GitHub Awesome,https://www.anthropic.com/news/claude-fable-5-mythos-5
"🆕 **May 28, 2026**. Major Opus refresh: codebase-scale migrations, sharper agentic judgment, **dynamic workflows** research preview with hundreds of parallel sub-agents in a single session, manual **effort-control** panel, **3× cheaper Fast mode** at the same $5 / $25 per million in/out. Available on Anthropic native + Amazon Bedrock + AWS Claude Platform + Google Cloud + Microsoft Foundry. Teases an upcoming **Mythos-class** model series for limited orgs.",Claude Opus 4.8,GitHub Awesome,https://www.anthropic.com/claude/opus
"🆕 Released April 16, 2026. Advanced software engineering (SWE-bench Verified 87.6%), enhanced vision, proactive code verification. Supports `/think xhigh` reasoning effort. 1M-token context.",Claude Opus 4.7,GitHub Awesome,https://www.anthropic.com/news/claude-opus-4-7
"Released Feb 2026. 1M-token context, 14.5-hour task horizon. Leads Arena chat leaderboard.",Claude Opus 4.6,GitHub Awesome,https://www.anthropic.com/
"Released Feb 2026. Frontier coding and agentic performance, 1M token context window.",Claude Sonnet 4.6,GitHub Awesome,https://www.anthropic.com/news/claude-sonnet-4-6
"🆕 April 2026 gated research preview. BenchLM 99 (top of leaderboard), SWE-bench Verified 93.9%. Limited to Project Glasswing partners.",Claude Mythos Preview,GitHub Awesome,https://www.anthropic.com/
Released May 2025. Advanced reasoning and complex task execution.,Claude Opus 4,GitHub Awesome,https://www.anthropic.com/news/claude-4
Released May 2025. Balanced performance and cost for a wide range of tasks.,Claude Sonnet 4,GitHub Awesome,https://www.anthropic.com/news/claude-4
"Agentic coding tool operating directly in your terminal. Powered by Opus 4.7 with `/think xhigh` support. **July 2026**: desktop app gains a **built-in browser** enabling live website interaction (scraping, debugging, live-page inspection); Fable 5 model available since July 1.",Claude Code,GitHub Awesome,https://docs.anthropic.com/en/docs/claude-code
"🆕 **May 1, 2026**. Public beta. Enterprise security tool powered by Opus 4.7 — scans entire codebases for vulnerabilities and generates targeted patches with confidence rating, severity, reproduction steps, and recommended fixes. Available to Enterprise customers via [claude.ai/security](https://claude.ai/security).",Claude Security,GitHub Awesome,https://www.anthropic.com/
"🆕 **May 5, 2026**. Ten Opus-4.7-powered specialised agents for pitchbook authoring, KYC, month-end close, deal screening, etc. Deployable as Claude Cowork plugins, Claude Code skills, or Managed-Agents cookbooks.",Claude Finance Agents,GitHub Awesome,https://www.anthropic.com/news/finance-agents
"🆕 **May 4, 2026**. $1.5B Claude deployment joint venture with Goldman Sachs and Blackstone embedding Anthropic engineers in mid-market Wall Street firms.",Claude Finance JV,GitHub Awesome,https://www.anthropic.com/
"🆕 **May 8, 2026 (Code with Claude 2026)**. Anthropic introduces Add-ins, scheduled memory review between sessions (""Dreaming""), rubric-driven ""Outcomes"", and a lead-agent + sub-agent orchestration model with shared filesystem and auditable trace.",Claude Add-ins / Dreaming / Outcomes / Multi-agent orchestration,GitHub Awesome,https://www.anthropic.com/news/code-with-claude-2026
"🆕 **May 6, 2026**. Anthropic takes all available capacity at SpaceX's Colossus 1 Memphis datacenter (>220K NVIDIA H100/H200/GB200 GPUs, 300+ MW) for Claude Opus inference. Doubles Claude Code 5-hour rate limits on Pro/Max/Team/Enterprise; also lifts peak-hour limits.",Anthropic ↔ SpaceX Colossus 1,GitHub Awesome,https://www.siliconrepublic.com/business/anthropic-joins-forces-with-spacex-for-colossus-capacity
"🆕 **July 22, 2026**. Anthropic will deploy **up to 2 gigawatts** of AMD Instinct MI450 Series (MI455X) GPUs in AMD Helios rack-scale systems with EPYC ""Venice"" CPUs, Pensando networking and ROCm; the first gigawatt begins in H1 2027. AMD has committed a strategic equity investment of **up to $5 billion** in Anthropic, plus a multi-year engineering collaboration. Builds on Anthropic's existing MI355X usage — a deliberate hardware-diversification move alongside its TPU, Trainium and SpaceX Colossus capacity.",Anthropic ↔ AMD (up to 2 GW of Instinct MI450),GitHub Awesome,https://ir.amd.com/news-events/press-releases/detail/1292/amd-and-anthropic-announce-strategic-partnership-to-deploy-up-to-2-gigawatts-of-amd-instinct-mi450-series-gpus
"🆕 **July 27, 2026**. Dario Amodei responds to reports that US officials are weighing a ban on Chinese open-weights models: ""Anthropic has never advocated for a ban on open-weights models."" He calls non-dangerous open weights ""a public good"" and instead backs chip export controls plus a smuggling crackdown, deterrence of industrial-scale distillation, and **mandatory pre-release safety testing for all sufficiently capable models, open and closed**. Useful primary source for anyone tracking the 2026 open-vs-closed policy fight.",Anthropic's position on open-weights models,GitHub Awesome,https://www.anthropic.com/news/position-open-weights-models
"🆕 **May 12, 2026**. New legal stack on top of Claude Cowork: **20+ MCP connectors** (iManage, NetDocuments, DocuSign, Ironclad, LexisNexis, Westlaw, Harvey, Everlaw, Relativity, CourtListener…) + **12 practice-area plugins** (commercial, employment, privacy, product, corporate, AI governance, litigation associate, law-student bar-exam). Microsoft Word / Outlook / Excel / PowerPoint orchestration built in.",Claude for Legal,GitHub Awesome,https://www.anthropic.com/news/claude-for-legal
"🆕 **May 13, 2026**. Small-business toggle inside Claude Cowork — 15 pre-built agentic workflows across finance / ops / sales / marketing / HR / customer service, native connectors for QuickBooks, PayPal, HubSpot, Canva, DocuSign, Google Workspace, Microsoft 365. Bundled with a free PayPal-backed ""AI Fluency for Small Business"" course and a 10-city US workshop tour kicking off in Chicago.",Claude for Small Business,GitHub Awesome,https://www.anthropic.com/news/claude-for-small-business
"🆕 **May 14, 2026**. 4-year, $200M partnership pairing grants + Claude usage credits + Anthropic engineers on global-health, life-sciences, education, and agriculture programs. All tools produced under the program will be freely available; first focus areas include vaccine R&D for polio / HPV / preeclampsia and agriculture-specific Claude extensions.",Anthropic ↔ Gates Foundation $200M,GitHub Awesome,https://www.anthropic.com/news/gates-foundation-partnership
"🆕 **May 14, 2026**. PwC commits to global rollout of Claude Code + Claude Cowork, certifies 30,000 PwC professionals, and stands up a joint ""Agentic Enterprise"" Center of Excellence — focused on agentic build, AI-native deals, and finance / supply-chain / HR reinvention.",Anthropic ↔ PwC strategic alliance expansion,GitHub Awesome,https://www.pwc.com/us/en/about-us/newsroom/press-releases/anthropic-pwc-expand-alliance-agentic-enterprise.html
"🆕 **May 18, 2026**. Anthropic briefs the global FSB on Claude Mythos cyber-flaw discovery capabilities — first time a frontier lab briefs a G20-level financial-stability regulator on a frontier model's offensive-security implications.",Anthropic ↔ Financial Stability Board briefing (Claude Mythos),GitHub Awesome,https://www.theguardian.com/technology/2026/may/18/anthropic-ai-claude-mythos-cyber-financial-stability-board-fsb
"🆕 **May 18, 2026 (sessions published)**. Full developer-conference recordings (May 6 event) go public: Claude Code roadmap, Claude Developer Platform updates, Managed Agents dreaming + multi-agent orchestration, and partner deployments.",Code with Claude 2026 sessions on YouTube,GitHub Awesome,https://www.infoq.com/news/2026/05/code-with-claude/
"🆕 **May 19, 2026**. Anthropic publishes its framework for engaging diverse traditions (religious, philosophical, indigenous) in frontier-AI safety dialogue. Companion to ongoing public-engagement work.",Widening the conversation on frontier AI,GitHub Awesome,https://www.anthropic.com/news/widening-conversation-ai
"🆕 **May 20, 2026**. BMS adopts Claude Enterprise as its shared intelligence platform for 30,000+ employees globally, embedding agentic Claude into drug-discovery / development / delivery workflows. First top-5 pharma enterprise-wide Claude deployment.",Bristol Myers Squibb ↔ Anthropic Claude Enterprise,GitHub Awesome,https://news.bms.com/news/corporate-financial/2026/Bristol-Myers-Squibb-Announces-Strategic-Agreement-with-Anthropic-to-Position-Claude-Enterprise-as-the-Shared-Intelligence-Platform-Across-Its-Global-Operations/default.aspx
"🆕 ⚡ **August 13, 2026**. Google's new ""most intelligent workhorse model"" for coding and agents, shipped just three weeks after 3.6 Flash — and before the still-missing 3.5 Pro. FrontierCode 1.1 43.6% (vs 34.4% for 3.6 Flash), DeepSWE v1.1 65.3% (vs 49.0%). Introductory pricing **$0.75/$3.75 per million in/out through Dec 31, 2026** (then $1.50/$7.50). Available in AI Studio, Android Studio, Antigravity, and the Gemini Enterprise Agent Platform; powers Gemini Spark for AI Pro/Ultra subscribers.",Gemini 3.7 Flash,GitHub Awesome,https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/
"🆕 **July 21, 2026**. Google's Flash tier — stronger on complex agentic and multimodal tasks **while using fewer tokens, at a lower price point than 3.5 Flash**. API id `gemini-3.6-flash`. Documented in the official Gemini API cookbook alongside thinking-mode guides. Superseded as the top Flash tier by 3.7 Flash on August 13, 2026.",Gemini 3.6 Flash,GitHub Awesome,https://github.com/google-gemini/cookbook
"🆕 **July 21, 2026**. The fastest, lowest-cost model in the 3.5 family; outperforms prior Flash-Lite generations for high-throughput execution. API id `gemini-3.5-flash-lite`. Now the cheapest Gemini tier, superseding 3.1 Flash-Lite for new builds.",Gemini 3.5 Flash-Lite,GitHub Awesome,https://github.com/google-gemini/cookbook
"Google's most capable Gemini as of late July 2026, served as `gemini-3.1-pro-preview`. GPQA Diamond 94.3% (world-record at launch), ARC-AGI-2 77.1%, BenchLM 94. ⚠️ Still carries the `-preview` suffix and **has no free tier**.",Gemini 3.1 Pro (preview),GitHub Awesome,https://deepmind.google/technologies/gemini/
"⚠️ **Delayed — still unreleased as of August 13, 2026** (limited enterprise preview with partners ongoing). Google's upcoming flagship with a reported **2-million-token context window** and **Deep Think** reasoning mode; substantially improved coding and agentic workflow capabilities. Announced at Google I/O in May 2026 for a June release, then postponed after Google scrapped and rebuilt the base model over disappointing coding performance. At the Gemini 3.7 Flash launch (Aug 13) Google declined to discuss 3.5 Pro's fate and confirmed it is now training **Gemini 4**. Competes directly with GPT-5.6 Sol and Claude Fable 5.",Gemini 3.5 Pro,GitHub Awesome,https://cloud.google.com/blog/products/ai-machine-learning/innovations-from-google-io-26-on-google-cloud
"🆕 **June 2026**. Novel multimodal open model with a **unified, encoder-free architecture** processing text, images, and audio in a single pass. Runs locally on 16 GB VRAM.",Gemma 4 12B,GitHub Awesome,https://blog.google/innovation-and-ai/technology/developers-tools/introducing-gemma-4-12b/
🆕 **June 2026**. 26B MoE open model using **text-diffusion** for up to **4× faster generation** than autoregressive models.,DiffusionGemma,GitHub Awesome,https://www.marktechpost.com/2026/06/10/google-ai-releases-diffusiongemma-a-26b-moe-open-model-using-text-diffusion-for-up-to-4x-faster-generation/
"🆕 **May 19, 2026 — Google I/O 2026**. Default model powering the Gemini app and Google Search AI Mode. Marketed as **~4× faster** than other frontier models in output tokens/sec while outperforming Gemini 3.1 Pro on key benchmarks. Gemini 3.5 Pro was slated for June 2026 but has been delayed (see above).",Gemini 3.5 Flash,GitHub Awesome,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/
"🆕 **May 19, 2026 — Google I/O 2026**. New Google DeepMind multimodal **world-model** family aimed at AGI. Omni Flash, the first shipped variant, can take any input modality and generate any output (starting with video; image and text generation following). Direct lineage to Gemini Robotics / Genie line of work.",Gemini Omni / Omni Flash,GitHub Awesome,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/
"Released Feb 2026. BenchLM 94, GPQA Diamond 94.3% (world-record), ARC AGI2 77.1%. `$2/1M tokens` flagship.",Gemini 3.1 Pro,GitHub Awesome,https://deepmind.google/technologies/gemini/
"🆕 April 2026. Real-time multimodal streaming for voice assistants and interactive agents. Low latency, long context.",Gemini 3.1 Flash Live,GitHub Awesome,https://deepmind.google/technologies/gemini/
"🆕 **May 8, 2026**. Generally available on Gemini API / AI Studio / Vertex AI. Fastest and most cost-efficient model in the Gemini 3 family — built for low-latency code completion, real-time UX, and agentic developer tools; matches Gemini 2.5 Flash quality at significantly lower cost.",Gemini 3.1 Flash-Lite (GA),GitHub Awesome,https://cloud.google.com/blog/products/ai-machine-learning/gemini-3-1-flash-lite-is-now-generally-available
"🆕 **May 28, 2026**. Omni Flash starts rolling out to consumers via the Gemini app, **Google Flow**, and **YouTube Shorts** as the editing engine — conversational cinematic zooms / background swaps / weather edits driven by text, voice, image, or audio prompts; no traditional NLE required.",Gemini Omni Flash — voice-controlled video editing rollout,GitHub Awesome,https://www.techtimes.com/articles/317309/20260528/google-gemini-omni-flash-brings-voice-controlled-ai-video-editing-future-conversational-ai.htm
"🆕 **May 19, 2026 — Google I/O 2026**. Cloud-resident personal AI agent that runs **24/7** on user intent, integrates Gmail / Chat first, then ~30+ third-party tools via MCP (Adobe / Dropbox / Uber). Available to Google AI Ultra subscribers in the US within the I/O week.",Gemini Spark (24/7 personal AI agent),GitHub Awesome,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/
"🆕 **May 19, 2026 — Google I/O 2026**. New top consumer subscription targeted at developers / creators / power users. Gates Gemini Spark, highest Gemini 3.5 quotas, and the upcoming Gemini 3.5 Pro.",Google AI Ultra ($100/month tier),GitHub Awesome,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/
"Fast, cost-efficient models for high-throughput applications.",Gemini 3.1 Flash / Flash Lite,GitHub Awesome,https://deepmind.google/technologies/gemini/
"🆕 Released April 2026. Open model family: 2B / 4B / 26B / 31B variants. Strong science reasoning and document understanding, local deployment ready.",Gemini 4 (Open),GitHub Awesome,https://deepmind.google/technologies/gemini/
GA June 2025. Thinking model with 1M context.,Gemini 2.5 Pro / Flash,GitHub Awesome,https://deepmind.google/technologies/gemini/
🆕 April 2026. GPQA Diamond 84.3%. Strong open-weight alternative for on-device reasoning. ![GitHub stars](https://img.shields.io/badge/dynamic/json?label=Stars&query=%24.stargazers_count&url=https%3A%2F%2Fapi.github.com%2Frepos%2Fgoogle-deepmind%2Fgemma&color=yellow&logo=github&logoColor=white&style=flat&cacheSeconds=300),Gemma 4 31B,GitHub Awesome,https://github.com/google-deepmind/gemma
Previous open model family for on-device and research use.,Gemma 3,GitHub Awesome,https://github.com/google-deepmind/gemma
"🆕 April 14, 2026. Upgraded robotics AI with improved spatial and physical reasoning. Partnership with Agile Robotics for real-world deployment.",Gemini Robotics ER-1.6,GitHub Awesome,https://deepmind.google/
